Date,Price
3/31/2019,50.3248
4/1/2019,50.7543
4/2/2019,62.354
4/3/2019,75.3876
4/4/2019,75.4766
4/5/2019,74.0384
4/6/2019,73.2993
4/7/2019,74.3063
4/8/2019,74.406
4/9/2019,69.2685
4/10/2019,67.0578
4/11/2019,65.4305
4/12/2019,62.417
4/13/2019,59.3915
4/14/2019,58.9591
4/15/2019,60.377
4/16/2019,58.8305
4/17/2019,56.8502
4/18/2019,57.657
4/19/2019,56.8576
4/20/2019,56.137
4/21/2019,56.3304
4/22/2019,56.1304
4/23/2019,60.4151
4/24/2019,61.043
4/25/2019,61.0823
4/26/2019,61.8611
4/27/2019,60.0034
4/28/2019,60.4367
4/29/2019,62.1444
4/30/2019,62.0534
5/1/2019,61.1362
5/2/2019,61.4134
5/3/2019,63.87
5/4/2019,64.1867
5/5/2019,65.8395
5/6/2019,68.0412
5/7/2019,70.0315
5/8/2019,69.2857
5/9/2019,69.1922
5/10/2019,71.7662
5/11/2019,92.6486
5/12/2019,87.1188
5/13/2019,103.3982
5/14/2019,102.8955
5/15/2019,100.0465
5/16/2019,101.9448
5/17/2019,104.4215
5/18/2019,106.3318
5/19/2019,104.8852
5/20/2019,103.8348
5/21/2019,99.3058
5/22/2019,96.7663
5/23/2019,95.431
5/24/2019,93.6897
5/25/2019,92.7164
5/26/2019,94.1122
5/27/2019,100.7367
5/28/2019,98.3233
5/29/2019,94.9435
5/30/2019,95.4204
5/31/2019,93.5656
6/1/2019,91.1714
6/2/2019,89.9063
6/3/2019,89.2509
6/4/2019,91.4726
6/5/2019,89.4472
6/6/2019,82.8891
6/7/2019,79.5185
6/8/2019,78.4101
6/9/2019,78.3548
6/10/2019,78.2685
6/11/2019,75.1783
6/12/2019,74.407
6/13/2019,73.8765
6/14/2019,74.5653
6/15/2019,74.0906
6/16/2019,78.5645
6/17/2019,83.9637
6/18/2019,85.589
6/19/2019,85.0372
6/20/2019,85.2644
6/21/2019,93.4555
6/22/2019,100.2528
6/23/2019,100.7754
6/24/2019,98.1073
6/25/2019,97.1476
6/26/2019,116.7733
6/27/2019,127.9261
6/28/2019,112.7563
6/29/2019,103.4173
6/30/2019,99.765
7/1/2019,101.1199
7/2/2019,103.1702
7/3/2019,102.9972
7/4/2019,103.8563
7/5/2019,100.4793
